chunk_id,policy_id,policy_name,category,region,source_url,text
WLF00000022,WLF00000022,(산재근로자)사회심리재활지원,고용노동부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000022&wlfareInfoReldBztpCd=01,"정책명: (산재근로자)사회심리재활지원
소관부처: 고용노동부
소관조직: 산재보상정책과
서비스요약: 산업 재해 및 장해를 입은 근로자가 심리적 충격을 해소하고 재활할 수 있도록 지원합니다.
대표문의: 근로복지공단 고객센터1588-0075"
WLF00000023,WLF00000023,농어가목돈마련저축 저축장려금 지급,금융위원회,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000023&wlfareInfoReldBztpCd=01,"정책명: 농어가목돈마련저축 저축장려금 지급
소관부처: 금융위원회
소관조직: 은행과
서비스요약: 농어가목돈마련저축 만기시 저축장려금을 지급하여 농어민의 재산 형성을 지원하고 저축 의욕을 높여 안정된 생활기반 조성에 기여합니다.
대표문의: NH농협1661-2100 SH수협1588-1515 산림조합1544-4200"
WLF00000024,WLF00000024,아이돌봄 서비스,여성가족부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000024&wlfareInfoReldBztpCd=01,"정책명: 아이돌봄 서비스
소관부처: 여성가족부
소관조직: 가족문화과
서비스요약: 맞벌이를 하거나 갑자기 아이를 돌볼 수 없는 일이 생겼을 때 육아 도우미가 방문하여 12세 이하 자녀의 양육을 도와줍니다.
대표문의: 아이돌봄 지원사업1577-8136"
WLF00000025,WLF00000025,장애인일자리지원,보건복지부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000025&wlfareInfoReldBztpCd=01,"정책명: 장애인일자리지원
소관부처: 보건복지부
소관조직: 장애인자립기반과
서비스요약: 18세 이상 미취업 장애인에게 공공형 일자리를 제공하여 사회참여 확대와 소득보장을 도모합니다.
대표문의: 보건복지상담센터129"
WLF00000026,WLF00000026,장애인자립자금대여,보건복지부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000026&wlfareInfoReldBztpCd=01,"정책명: 장애인자립자금대여
소관부처: 보건복지부
소관조직: 장애인자립기반과
서비스요약: 저소득 장애인의 소규모 창업 및 출퇴근용 자동차 구입 비용을 장기 저리로 대여하여 생업의 기반을 다지고 편리하게 이동할 수 있도록 지원합니다.
대표문의: 보건복지상담센터129 주소지 읍·면·동 주민센터주소지 읍·면·동 주민센터"
WLF00000028,WLF00000028,공동육아나눔터 운영,여성가족부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000028&wlfareInfoReldBztpCd=01,"정책명: 공동육아나눔터 운영
소관부처: 여성가족부
소관조직: 가족친화기반과
서비스요약: 육아 공간 및 돌봄 프로그램 제공, 이웃 간 자녀 돌봄 품앗이 활동 지원을 통해 양육 부담을 경감하고 돌봄친화적 분위기를 조성합니다.
대표문의: 공동육아나눔터(전국 가족센터(건강가정지원센터))1577-9337"
WLF00000030,WLF00000030,육아종합지원서비스 제공,교육부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000030&wlfareInfoReldBztpCd=01,"정책명: 육아종합지원서비스 제공
소관부처: 교육부
소관조직: 영유아정책총괄과
서비스요약: 영유아와 부모를 위한 종합적인 육아종합서비스를 제공하는 육아종합지원센터 운영비를 지원합니다.
대표문의: 중앙육아종합지원센터 센터지원팀02-6901-0202"
WLF00000031,WLF00000031,노후준비서비스,보건복지부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000031&wlfareInfoReldBztpCd=01,"정책명: 노후준비서비스
소관부처: 보건복지부
소관조직: 인구정책총괄과
서비스요약: 국민의 체계적 노후준비와 건강한 노후생활을 위해 재무·건강·여가·대인관계 등 분야별 종합적인 정보와 서비스를 제공합니다.
대표문의: 국민연금공단1355"
WLF00000032,WLF00000032,실종아동 등 보호 및 지원,보건복지부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000032&wlfareInfoReldBztpCd=01,"정책명: 실종아동 등 보호 및 지원
소관부처: 보건복지부
소관조직: 아동학대대응과
서비스요약: 아동 및 장애인(지적·자폐성·정신)의 실종예방 교육 및 홍보, 장기실종 가족지원을 통해 가족해체를 예방합니다.
대표문의: 실종아동전문기관02-777-0182"
WLF00000033,WLF00000033,노인복지민간단체지원,보건복지부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000033&wlfareInfoReldBztpCd=01,"정책명: 노인복지민간단체지원
소관부처: 보건복지부
소관조직: 노인지원과
서비스요약: 노인단체 활동을 육성, 지원하여 노인들의 사회참여 및 권익향상을 도모합니다.
대표문의: 보건복지상담센터129"
WLF00000035,WLF00000035,개발제한구역 거주민 생활비용보조사업,국토교통부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000035&wlfareInfoReldBztpCd=01,"정책명: 개발제한구역 거주민 생활비용보조사업
소관부처: 국토교통부
소관조직: 녹색도시과
서비스요약: 개발제한구역 지정으로 생활의 불편을 겪는 구역 내 저소득 주민에게 보전부담금을 재원으로 생활비용을 보조합니다.
대표문의: 국토교통부1599-0001"
WLF00000036,WLF00000036,주거취약계층 주거상향 지원사업,국토교통부,전국,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000036&wlfareInfoReldBztpCd=01,"정책명: 주거취약계층 주거상향 지원사업
소관부처: 국토교통부
소관조직: 주거복지정책과
서비스요약: 쪽방·고시원 등 열악한 비주택거주자의 공공임대주택 이주수요를 발굴하고 LH와 협력하여 이주과정을 지원합니다.
대표문의: 국토교통부 콜센터1599-0001 마이홈1600-0777"
