기준연도,대표문의,사이트,서비스URL,서비스명,서비스아이디,서비스요약,소관부처명,소관조직명,최종수정일
2025,근로복지공단 고객센터1588-0075,근로복지공단https://www.comwel.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000022&wlfareInfoReldBztpCd=01,(산재근로자)사회심리재활지원,WLF00000022,산업 재해 및 장해를 입은 근로자가 심리적 충격을 해소하고 재활할 수 있도록 지원합니다.,고용노동부,산재보상정책과,2025-04-10
2025,NH농협1661-2100 SH수협1588-1515 산림조합1544-4200,NH농협http://banking.nonghyup.com SH수협http://suhyup-bank.com 산림조합http://nfcf.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000023&wlfareInfoReldBztpCd=01,농어가목돈마련저축 저축장려금 지급,WLF00000023,농어가목돈마련저축 만기시 저축장려금을 지급하여 농어민의 재산 형성을 지원하고 저축 의욕을 높여 안정된 생활기반 조성에 기여합니다.,금융위원회,은행과,2025-03-06
2025,아이돌봄 지원사업1577-8136,아이돌봄 지원사업https://idolbom.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000024&wlfareInfoReldBztpCd=01,아이돌봄 서비스,WLF00000024,맞벌이를 하거나 갑자기 아이를 돌볼 수 없는 일이 생겼을 때 육아 도우미가 방문하여 12세 이하 자녀의 양육을 도와줍니다.,여성가족부,가족문화과,2025-03-31
2025,보건복지상담센터129,보건복지부www.mw.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000025&wlfareInfoReldBztpCd=01,장애인일자리지원,WLF00000025,18세 이상 미취업 장애인에게 공공형 일자리를 제공하여 사회참여 확대와 소득보장을 도모합니다.,보건복지부,장애인자립기반과,2025-03-21
2025,보건복지상담센터129 주소지 읍·면·동 주민센터주소지 읍·면·동 주민센터,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000026&wlfareInfoReldBztpCd=01,장애인자립자금대여,WLF00000026,저소득 장애인의 소규모 창업 및 출퇴근용 자동차 구입 비용을 장기 저리로 대여하여 생업의 기반을 다지고 편리하게 이동할 수 있도록 지원합니다.,보건복지부,장애인자립기반과,2025-02-28
2025,공동육아나눔터(전국 가족센터(건강가정지원센터))1577-9337,전국 가족센터(건강가정지원센터)www.familynet.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000028&wlfareInfoReldBztpCd=01,공동육아나눔터 운영,WLF00000028,"육아 공간 및 돌봄 프로그램 제공, 이웃 간 자녀 돌봄 품앗이 활동 지원을 통해 양육 부담을 경감하고 돌봄친화적 분위기를 조성합니다.",여성가족부,가족친화기반과,2025-05-23
2025,중앙육아종합지원센터 센터지원팀02-6901-0202,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000030&wlfareInfoReldBztpCd=01,육아종합지원서비스 제공,WLF00000030,영유아와 부모를 위한 종합적인 육아종합서비스를 제공하는 육아종합지원센터 운영비를 지원합니다.,교육부,영유아정책총괄과,2025-03-27
2025,국민연금공단1355,국민연금공단http://www.nps.or.kr 내연금사이트csa.nps.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000031&wlfareInfoReldBztpCd=01,노후준비서비스,WLF00000031,국민의 체계적 노후준비와 건강한 노후생활을 위해 재무·건강·여가·대인관계 등 분야별 종합적인 정보와 서비스를 제공합니다.,보건복지부,인구정책총괄과,2025-03-06
2025,실종아동전문기관02-777-0182,실종아동전문기관www.missingchild.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000032&wlfareInfoReldBztpCd=01,실종아동 등 보호 및 지원,WLF00000032,"아동 및 장애인(지적·자폐성·정신)의 실종예방 교육 및 홍보, 장기실종 가족지원을 통해 가족해체를 예방합니다.",보건복지부,아동학대대응과,2025-05-07
2025,보건복지상담센터129,보건복지부http://www.mohw.go.kr 보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000033&wlfareInfoReldBztpCd=01,노인복지민간단체지원,WLF00000033,"노인단체 활동을 육성, 지원하여 노인들의 사회참여 및 권익향상을 도모합니다.",보건복지부,노인지원과,2025-03-20
2025,국토교통부1599-0001,국토교통부http://www.molit.go.kr/happyhouse,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000035&wlfareInfoReldBztpCd=01,개발제한구역 거주민 생활비용보조사업,WLF00000035,개발제한구역 지정으로 생활의 불편을 겪는 구역 내 저소득 주민에게 보전부담금을 재원으로 생활비용을 보조합니다.,국토교통부,녹색도시과,2025-03-12
2025,국토교통부 콜센터1599-0001 마이홈1600-0777,마이홈www.myhome.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000036&wlfareInfoReldBztpCd=01,주거취약계층 주거상향 지원사업,WLF00000036,쪽방·고시원 등 열악한 비주택거주자의 공공임대주택 이주수요를 발굴하고 LH와 협력하여 이주과정을 지원합니다.,국토교통부,주거복지정책과,2025-02-27
2025,시간제보육 상담1661-9361,임신육아종합포털 아이사랑https://www.childcare.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000037&wlfareInfoReldBztpCd=01,시간제보육 지원,WLF00000037,가정 양육 시에도 필요한 때에 필요한 만큼 이용할 수 있는 보육 서비스를 제공하여 자녀 양육에 대한 부담을 경감하고 부모의 보육 서비스 선택권을 보장합니다.,교육부,영유아정책총괄과,2025-04-15
2025,국가보훈부 상담센터1577-0606,국가보훈부 상담센터www.mpva.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000038&wlfareInfoReldBztpCd=01,독립유공자 제수비 지급,WLF00000038,사망한 독립유공자 기일에 독립유공자의 수권유족에게 제수비를 지원합니다.,국가보훈부,보훈문화정책과,2025-02-26
2025,보건복지부 콜센터129,보건복지부 콜센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000040&wlfareInfoReldBztpCd=01,선천성대사이상 검사 및 환아관리,WLF00000040,선천성대사이상의 유무를 조기에 발견·치료함으로써 장애발생을 사전에 예방하여 영유아의 건강 증진을 도모합니다.,보건복지부,출산정책과,2025-05-23
2025,어선원 및 어선 재해보상보험02-1588-4119,어선원 및 어선 재해보상보험https://www.suhyup.co.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000041&wlfareInfoReldBztpCd=01,어선원 및 어선 재해보상보험,WLF00000041,"어업에 종사하는 어선원과 어선에 대한 재해보상보험사업을 시행하여 어선원 등을 보호하고, 어업경영 안정에 기여합니다.",해양수산부,소득복지과,2025-03-07
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000043&wlfareInfoReldBztpCd=01,보상금,WLF00000043,"독립(국가)유공자, 보훈보상대상자의 생활 안정과 복지 향상을 위하여 보상금을 지원합니다.",국가보훈부,보상정책과,2025-05-23
2025,근로복지공단 고객센터1588-0075,근로복지공단 고객센터https://www.comwel.or.kr 근로복지넷https://welfare.comwel.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000044&wlfareInfoReldBztpCd=01,생활안정자금(융자),WLF00000044,저소득 근로자 등의 혼례·장례 등 사유 발생 시 필요한 생활자금을 저리로 융자하여 생계안정에 기여합니다.,고용노동부,퇴직연금복지과,2025-05-23
2025,질병관리청 1339 콜센터국번없이 1339,질병관리청 1339 콜센터https://kdca.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000047&wlfareInfoReldBztpCd=01,고혈압·당뇨병 등록관리사업,WLF00000047,"심뇌혈관질환 선행질환인 고혈압, 당뇨병 환자의 지속치료율 향상 및 자가관리 역량 지원을 통한 합병증 발생 또는 사망 발생 감소를 도모합니다.",질병관리청,만성질환예방과,2025-03-25
2025,국가보훈부 국가보훈부 상담센터1577-0606,국가보훈부 상담센터www.mpva.go.kr 국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000048&wlfareInfoReldBztpCd=01,국가유공자등대부지원,WLF00000048,국가유공자 등의 주거안정과 자립기반 조성을 위하여 장기로 저금리 대출을 실시합니다.,국가보훈부,생활안정과,2025-03-18
2025,전국 읍·면·동 주민센터전국 읍·면·동 주민센터 한국에너지재단(취약계층 LED 보급지원)02-6913-2145,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000049&wlfareInfoReldBztpCd=01,에너지 취약계층 고효율조명기기 무상교체 지원(취약계층 에너지복지사업),WLF00000049,에너지 취약계층인 저소득층 및 복지시설에 고효율 조명기기(LED) 무상교체로 전기요금을 줄이고 전력수요 절감에 기여합니다.,산업통상자원부,에너지정책관,2025-04-03
